0,1,2,3,4,5,6,7,8,9,10,11
461,68,15,0,0,0,0,0,0,0,0,0
193,61,40,0,0,0,0,0,0,0,0,0
70,57,80,0,0,0,0,0,0,0,0,0
3,5,31,0,0,0,0,0,0,0,0,0
1,2,13,0,0,0,0,0,0,0,0,0
0,2,19,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0
0,2,3,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
